City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
200,Namibe,AO,-15.1961,12.1522,73.44,61,0,8.23,clear sky
201,Hofn,IS,64.2539,-15.2082,46.33,99,100,7.9,overcast clouds
202,El Tumbador,GT,14.8667,-91.9333,79.47,83,100,3.67,overcast clouds
203,Seoul,KR,37.5683,126.9778,53.04,93,0,4.61,clear sky
204,Carlton,US,45.2943,-123.1765,50.14,82,100,4.61,overcast clouds
205,Mujiayingzi,CN,42.1167,118.7833,46.38,45,0,6.02,clear sky
206,Waddan,LY,29.1614,16.139,67.01,48,0,16.15,clear sky
207,Suda,RU,59.1525,37.5582,36.41,95,94,5.44,overcast clouds
208,Salinopolis,BR,-0.6136,-47.3561,76.24,91,100,1.9,overcast clouds
209,Nanortalik,GL,60.1432,-45.2371,37.2,89,100,0.45,overcast clouds
210,Indija,IN,20.0,77.0,90.86,22,72,2.8,broken clouds
211,Naryan-Mar,RU,67.6713,53.087,28.38,94,100,6.58,overcast clouds
212,Guarabira,BR,-6.8547,-35.49,73.9,92,100,9.22,overcast clouds
213,Tupsan,PH,9.1992,124.7769,80.08,85,98,10.67,overcast clouds
214,La Ronge,CA,55.1001,-105.2842,55.65,30,75,17.27,broken clouds
215,Korla,CN,41.7597,86.1469,65.53,49,0,6.8,clear sky
216,Opuwo,NA,-18.0607,13.84,64.6,41,0,4.97,clear sky
217,General Roca,AR,-39.0333,-67.5833,66.61,47,100,8.86,light rain
218,Castro,BR,-24.7911,-50.0119,54.36,88,2,3.89,clear sky
219,Phalaborwa,ZA,-23.943,31.1411,63.68,74,56,13.11,broken clouds
220,Narsaq,GL,60.9167,-46.05,52.02,77,86,3.69,overcast clouds
221,Emerald,AU,-23.5333,148.1667,60.94,82,100,12.66,overcast clouds
222,Kericho,KE,-0.3677,35.2831,56.3,98,88,3.31,light rain
223,Matagami,CA,49.7502,-77.6328,68.11,14,0,12.66,clear sky
224,Clinton,US,42.587,-82.9199,65.12,36,75,14.97,broken clouds
225,La Grande,US,45.3246,-118.0877,48.72,61,99,6.33,overcast clouds
226,Pangai,TO,-19.8,-174.35,78.91,73,20,4.61,few clouds
227,Kraskino,RU,42.7114,130.7794,48.49,49,24,5.95,few clouds
228,Puri,IN,19.8,85.85,82.92,86,99,5.95,overcast clouds
229,Beidao,CN,34.5686,105.8933,50.0,91,100,1.16,overcast clouds
230,Sambava,MG,-14.2667,50.1667,74.03,91,17,7.7,light rain
231,Mosquera,CO,4.7059,-74.2302,66.29,59,75,3.44,broken clouds
232,Bud,US,39.447,-86.1758,71.55,40,72,11.95,broken clouds
233,Moba,CN,33.2288,105.0179,48.25,91,100,4.61,overcast clouds
234,Jiuquan,CN,39.7432,98.5174,59.2,30,29,9.42,scattered clouds
235,Kiunga,PG,-6.1219,141.2906,76.77,99,100,0.58,overcast clouds
236,Sur,OM,22.5667,59.5289,87.93,37,0,10.96,clear sky
237,Susehri,TR,40.1644,38.0867,44.65,83,92,5.82,overcast clouds
238,Charters Towers,AU,-20.1,146.2667,68.45,90,100,11.52,overcast clouds
239,Aleksandrov Gay,RU,50.147,48.5704,48.79,80,100,10.71,overcast clouds
240,Nhulunbuy,AU,-12.2333,136.7667,81.21,83,40,8.05,scattered clouds
241,Pisco,PE,-13.7,-76.2167,71.65,68,51,24.16,haze
242,Sao Desiderio,BR,-12.3633,-44.9733,79.38,47,78,7.9,broken clouds
243,Qaqortoq,GL,60.7167,-46.0333,37.99,80,91,4.41,overcast clouds
244,Diu,IN,20.7141,70.9822,80.33,79,1,16.96,clear sky
245,Bongouanou,CI,6.6486,-4.1992,73.89,98,98,2.19,moderate rain
246,Abeche,TD,13.8292,20.8324,87.76,12,2,6.17,clear sky
247,Shenxian,CN,36.2411,115.6672,46.38,87,100,6.91,overcast clouds
248,Erenhot,CN,43.6475,111.9767,52.39,24,3,10.85,clear sky
249,Iquique,CL,-20.2208,-70.1431,66.24,80,17,8.39,few clouds
250,Daru,PG,-9.0763,143.2092,81.95,90,69,9.91,broken clouds
251,Guanica,PR,17.9716,-66.908,85.98,79,30,10.0,scattered clouds
252,Tokur,RU,53.1333,132.9,36.39,74,27,3.09,scattered clouds
253,Ankazoabo,MG,-22.2833,44.5167,65.14,91,1,5.17,clear sky
254,Saint-Francois,FR,46.4154,3.9054,57.67,67,0,2.3,clear sky
255,Ormara,PK,25.2088,64.6357,81.07,81,0,12.21,clear sky
256,Nome,US,64.5011,-165.4064,33.17,93,100,20.71,light snow
257,Coquimbo,CL,-29.9533,-71.3436,62.33,67,40,6.91,scattered clouds
258,Rawson,AR,-43.3002,-65.1023,60.62,37,35,9.64,scattered clouds
259,Taltal,CL,-25.4,-70.4833,62.29,70,1,1.77,clear sky
260,Okha,RU,53.5739,142.9478,31.62,99,100,13.18,light snow
261,Natchitoches,US,31.7668,-93.1335,92.25,55,40,8.05,scattered clouds
262,San Patricio,US,28.017,-97.5169,92.16,55,1,20.42,clear sky
263,Great Bend,US,38.3645,-98.7648,85.03,61,0,0.0,clear sky
264,Sao Filipe,CV,14.8961,-24.4956,73.67,74,0,14.23,clear sky
265,Qinhuangdao,CN,39.9317,119.5883,48.65,64,79,4.7,broken clouds
266,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,77,0,11.5,clear sky
267,Taft,IR,31.7471,54.2088,67.95,16,21,11.5,few clouds
268,Hasaki,JP,35.7333,140.8333,59.4,54,100,11.72,moderate rain
269,Port Augusta,AU,-32.5,137.7667,53.31,69,79,4.47,broken clouds
270,Gambela,ET,8.25,34.5833,78.35,68,93,3.94,overcast clouds
271,Broome,US,42.2506,-75.833,64.09,25,0,13.8,clear sky
272,Zhezkazgan,KZ,47.8043,67.7144,53.62,33,100,17.54,overcast clouds
273,Alofi,NU,-19.0595,-169.9187,75.09,94,89,9.22,overcast clouds
274,Palmer,US,42.1584,-72.3287,58.55,27,75,10.36,broken clouds
275,Bosaso,SO,11.2842,49.1816,82.89,71,4,1.86,clear sky
276,Lixourion,GR,38.2019,20.4314,60.84,83,68,1.5,broken clouds
277,Laibin,CN,23.7,109.2667,71.51,89,100,3.58,overcast clouds
278,Kruisfontein,ZA,-34.0033,24.7314,55.42,67,96,4.0,overcast clouds
279,Mahebourg,MU,-20.4081,57.7,72.25,94,20,3.44,few clouds
280,Port-Cartier,CA,50.0334,-66.8654,48.42,75,12,6.42,few clouds
281,Baykit,RU,61.67,96.37,23.38,92,95,2.86,overcast clouds
282,Waspan,NI,14.7419,-83.9717,92.93,45,12,7.61,few clouds
283,Luang Prabang,LA,19.8856,102.1347,71.37,98,83,0.96,broken clouds
284,Isiro,CD,2.7739,27.616,67.53,99,88,3.06,light rain
285,San Nicolas,PH,18.1725,120.5953,78.71,94,75,4.61,broken clouds
286,Beyneu,KZ,45.3167,55.2,63.12,70,100,8.16,light rain
287,Kazanskaya,RU,45.4106,40.4361,46.67,79,93,3.83,overcast clouds
288,Morinville,CA,53.8001,-113.652,46.87,51,40,20.71,scattered clouds
289,Tonantins,BR,-2.8731,-67.8022,78.12,91,59,1.68,broken clouds
290,Hovd,MN,48.0056,91.6419,32.38,54,30,5.99,scattered clouds
291,Wewak,PG,-3.5534,143.6268,80.33,89,98,9.13,overcast clouds
292,Russell,US,32.3502,-85.1999,80.96,41,20,5.75,few clouds
293,Tombouctou,ML,20.0,-3.0,82.04,7,0,11.16,clear sky
294,Nemuro,JP,43.3236,145.575,42.67,73,27,11.27,scattered clouds
295,Inuvik,CA,68.3499,-133.7218,49.06,47,20,9.22,few clouds
296,Port Blair,IN,11.6667,92.75,77.04,94,100,11.5,heavy intensity rain
297,Bengkulu,ID,-3.8004,102.2655,77.0,82,90,3.74,overcast clouds
298,Sangar,RU,63.9242,127.4739,32.23,95,99,6.87,overcast clouds
299,The Valley,AI,18.217,-63.0578,84.06,83,75,9.22,broken clouds
300,Zarautz,ES,43.2844,-2.1699,58.75,80,7,4.45,clear sky
301,Cairns,AU,-16.9167,145.7667,77.07,97,75,11.5,moderate rain
302,Obama,JP,35.4958,135.746,54.95,67,100,3.47,overcast clouds
303,Mahibadhoo,MV,3.7833,72.9667,84.02,78,100,19.17,overcast clouds
304,Spanish Town,JM,17.9911,-76.9574,84.7,70,75,17.27,broken clouds
305,Rakitnoye,RU,50.8389,35.8515,52.12,71,97,7.02,overcast clouds
306,Churapcha,RU,62.0025,132.4325,34.61,98,100,7.25,snow
307,Olga,RU,43.7444,135.2892,49.91,42,5,5.97,clear sky
308,Kirakira,SB,-10.4544,161.9205,83.48,77,97,11.92,overcast clouds
309,Shache,CN,38.4167,77.2406,71.06,21,0,8.25,clear sky
310,Ribeira Grande,PT,38.5167,-28.7,62.94,79,27,5.84,scattered clouds
311,Ahar,IR,38.4774,47.0699,46.87,88,95,3.09,overcast clouds
312,Alta Floresta,BR,-9.8756,-56.0861,78.13,78,66,2.39,broken clouds
313,Hammerfest,NO,70.6634,23.6821,32.45,100,75,16.11,broken clouds
314,Longyearbyen,SJ,78.2186,15.6401,17.44,57,40,14.97,scattered clouds
315,Itarema,BR,-2.9248,-39.9167,77.22,90,100,9.37,overcast clouds
